# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
2780 0.994678 -1.29715 0.882446
2790 1.03738 -1.32062 0.837648
2800 1.00615 -1.3113 0.882887
2810 1.00193 -1.30508 0.910439
2820 0.999169 -1.30767 0.895648
2830 0.987802 -1.33292 0.790926
2840 1.0047 -1.31535 0.848302
2850 0.998175 -1.31881 0.842675
2860 0.966992 -1.30721 0.858028
2870 0.988386 -1.33522 0.762186
2880 1.00062 -1.32529 0.802537
2890 1.05448 -1.32482 0.818066
2900 1.01467 -1.3201 0.817418
2910 1.05092 -1.33768 0.784196
2920 1.02704 -1.34358 0.765397
2930 1.0234 -1.31956 0.843441
2940 0.993597 -1.33049 0.788549
2950 0.988464 -1.34019 0.745867
2960 1.01353 -1.33364 0.773025
2970 1.02421 -1.33091 0.780335
2980 1.03263 -1.32983 0.797866
2990 1.00318 -1.33098 0.787132
3000 1.02481 -1.30549 0.887958
3010 1.00054 -1.31916 0.839846
3020 0.959687 -1.30251 0.87814
3030 1.00888 -1.31407 0.835618
3040 1.00435 -1.31999 0.81554
3050 0.977285 -1.30552 0.85819
3060 0.988042 -1.31731 0.809817
3070 0.982143 -1.34296 0.699073
3080 1.0098 -1.34375 0.701956
3090 1.01468 -1.33471 0.721651
3100 0.977966 -1.32194 0.768904
3110 0.959926 -1.31596 0.825482
3120 0.985932 -1.33653 0.788849
3130 1.00767 -1.34709 0.780899
3140 1.0162 -1.32166 0.873118
3150 1.03165 -1.33432 0.804308
3160 1.02511 -1.32356 0.794516
3170 1.01715 -1.29828 0.84054
3180 0.961524 -1.30739 0.766274
3190 0.975756 -1.30335 0.797179
3200 1.00521 -1.31652 0.770431
3210 1.01605 -1.30244 0.812202
3220 1.0114 -1.32868 0.72075
3230 1.03901 -1.31431 0.804231
3240 1.02265 -1.30474 0.866241
3250 1.02509 -1.30908 0.87363
3260 1.00055 -1.29724 0.908624
3270 0.988773 -1.30922 0.836275
3280 1.016 -1.32123 0.773625
3290 0.992878 -1.31922 0.762325
3300 1.0132 -1.32136 0.759658
3310 1.01368 -1.29945 0.846433
3320 1.00834 -1.32867 0.748505
3330 0.981292 -1.31614 0.784389
3340 1.0287 -1.30741 0.839102
3350 0.970081 -1.31202 0.799994
3360 0.962086 -1.30937 0.819572
3370 0.946728 -1.31959 0.790142
3380 1.01555 -1.34261 0.737616
3390 0.985393 -1.34219 0.717501
3400 1.02359 -1.35233 0.68742
3410 0.992607 -1.32714 0.745789
3420 0.943831 -1.31609 0.744183
3430 0.965474 -1.34369 0.663278
3440 0.986898 -1.34064 0.704015
3450 0.983606 -1.33224 0.751332
3460 0.999007 -1.33561 0.742704
3470 1.01269 -1.33705 0.739991
3480 1.02331 -1.32862 0.78237
3490 1.00948 -1.30787 0.853088
3500 0.979005 -1.33777 0.741495
3510 1.00881 -1.33176 0.762202
3520 1.01467 -1.34923 0.721471
3530 0.993136 -1.31757 0.819301
3540 0.97745 -1.3354 0.745745
3550 0.999509 -1.33124 0.76482
3560 1.02321 -1.32396 0.806411
3570 0.980075 -1.30133 0.878063
3580 1.00589 -1.32268 0.830012
3590 1.03043 -1.34922 0.751089
3600 1.02715 -1.32175 0.848873
3610 0.984829 -1.31508 0.850461
3620 0.977848 -1.33823 0.781467
3630 0.995399 -1.33772 0.808268
3640 1.00755 -1.32522 0.88049
3650 0.999663 -1.31551 0.938684
3660 0.980755 -1.32955 0.868297
3670 0.999059 -1.33647 0.82884
3680 0.989874 -1.31821 0.874933
3690 1.00686 -1.32789 0.850948
3700 1.05156 -1.3332 0.862021
3710 1.00773 -1.32291 0.881576
3720 0.978757 -1.32873 0.839182
3730 0.962754 -1.32015 0.853086
3740 0.975347 -1.33123 0.822999
3750 0.939602 -1.31191 0.890884
3760 1.0219 -1.31929 0.916434
3770 1.00324 -1.31692 0.893433
3780 1.00153 -1.34406 0.799199
3790 1.00555 -1.31866 0.895831
3800 1.03207 -1.34036 0.831854
3810 0.9905 -1.32759 0.83761
3820 1.00861 -1.32748 0.838008
3830 0.987387 -1.3366 0.780412
3840 0.97699 -1.29546 0.909789
3850 0.997641 -1.32299 0.821258
3860 1.03658 -1.31468 0.863533
3870 1.00617 -1.31157 0.841106
3880 1.01866 -1.32458 0.809412
3890 1.01908 -1.29435 0.903633
3900 0.999613 -1.31647 0.801311
3910 0.961202 -1.31194 0.801896
3920 1.01662 -1.31064 0.844519
3930 1.03076 -1.30204 0.899539
3940 1.00322 -1.30352 0.905608
3950 1.00837 -1.31377 0.882527
3960 0.989596 -1.33406 0.800954
3970 0.986846 -1.31272 0.849909
3980 0.99874 -1.32653 0.817619
3990 0.974779 -1.33742 0.7725
4000 0.998866 -1.34608 0.768396
4010 0.991962 -1.34983 0.748477
4020 1.05697 -1.37159 0.666596
4030 0.966795 -1.33468 0.751455
4040 1.02238 -1.32413 0.803284
4050 1.0168 -1.33272 0.769348
4060 1.01518 -1.31199 0.859398
4070 1.02481 -1.31164 0.871134
4080 1.00851 -1.31807 0.842416
4090 1.02479 -1.30892 0.873034
4100 1.03284 -1.32449 0.806539
4110 1.03113 -1.3086 0.852623
4120 1.03056 -1.31186 0.82155
4130 1.01392 -1.30526 0.84657
